117034,77.4,124.33,2.21,2.44,2.29,123.27,108,S1
117034,77.5,124.29,2.21,2.45,2.31,112.22,108,S1
117034,77.6,124.31,2.16,2.58,2.3,121.38,109.5,XT
117034,77.7,124.33,2.14,2.81,2.28,102.65,94.65,XT
117034,77.8,124.24,2.1,2.44,2.18,129.46,96,XT
117034,77.9,124.39,1.89,1.96,1.91,112.22,129,XT
117034,78,124.36,1.63,1.49,1.64,63.72,138,XT
117034,78.1,124.31,1.63,1.52,1.63,82.31,130.5,CY
117034,78.2,124.25,1.83,1.81,1.85,90.93,132,CY
117034,78.3,124.16,1.96,2.33,2.02,131.21,136.5,XT
117034,78.4,124.35,1.96,2.4,2.04,135.12,138,XT
117034,78.5,124.06,1.82,2.06,1.85,112.49,136.5,XT
117034,78.6,124.22,1.56,1.31,1.57,65.2,133.5,C4
117034,78.7,124.02,1.54,1.36,1.52,63.18,133.5,C4
117034,78.8,123.97,1.73,1.63,1.75,77.19,135,C3
117034,78.9,124.07,1.94,2.41,2,105.48,120,S1
117034,79,124.07,2.14,2.49,2.23,141.05,106.5,S1
117034,79.1,124,2.2,2.46,2.29,138.22,109.5,S1
117034,79.2,124.06,2.22,2.43,2.3,144.55,108,S2
117034,79.3,123.95,2.18,2.47,2.27,128.92,105,S2
117034,79.4,124.02,2.16,2.47,2.26,155.87,108,S2
117034,79.5,123.97,2.22,2.44,2.3,113.3,109.5,S2
117034,79.6,124.01,2.16,2.48,2.26,145.23,105,S2
117034,79.7,123.97,2.17,2.49,2.27,137.82,100.5,S2
117034,79.8,124.07,2.19,2.46,2.28,142.4,102,S2
117034,79.9,124.06,2.19,2.5,2.29,117.2,100.5,S2
117034,80,123.97,2.16,2.48,2.27,130.14,96,S2
117034,80.1,123.95,2.15,2.49,2.26,118.28,93,S2
117034,80.2,123.91,2.14,2.48,2.25,108.85,93,S2
117034,80.3,123.96,2.18,2.46,2.28,98.48,90,S2
117034,80.4,124,2.21,2.5,2.29,85.55,90,S2
117034,80.5,123.98,2.16,2.43,2.26,105.08,87,S2
117034,80.6,123.99,2.18,2.44,2.27,107.91,87,S2
117034,80.7,123.98,2.18,2.45,2.27,74.9,87,S2
117034,80.8,124.03,2.2,2.46,2.28,95.51,85.5,S2
117034,80.9,123.99,2.19,2.47,2.28,82.45,84,S3
117034,81,123.96,2.16,2.49,2.27,94.3,84,S3
117034,81.1,123.9,2.19,2.52,2.29,73.15,81,S3
117034,81.2,124.05,2.21,2.53,2.31,81.64,82.5,S3
117034,81.3,124,2.21,2.52,2.31,78.81,82.5,S3
117034,81.4,123.92,2.2,2.57,2.31,82.72,79.5,S3
117034,81.5,124.02,2.16,2.55,2.29,78.81,78,S3
117034,81.6,124,2.22,2.54,2.33,66.95,79.5,S3
117034,81.7,123.99,2.2,2.53,2.31,55.64,78,LC
117034,81.8,123.93,2.19,2.52,2.3,72.48,79.5,LC
117034,81.9,123.97,2.17,2.5,2.28,104.54,82.5,LC
117034,82,123.94,2.2,2.47,2.3,100.63,82.5,LC
117034,82.1,123.97,2.23,2.49,2.31,63.32,84,LC
117034,82.2,124,2.18,2.49,2.28,87.03,84,LC
117034,82.3,123.91,2.15,2.48,2.26,78.67,82.5,LC
117034,82.4,123.99,2.17,2.5,2.27,95.38,82.5,LC
117034,82.5,123.94,2.19,2.47,2.29,84.06,84,LC
117034,82.6,123.84,2.17,2.49,2.27,74.09,84,LC
117034,82.7,123.91,2.16,2.46,2.27,96.86,84,LC
117034,82.8,123.94,2.16,2.46,2.26,82.04,85.5,LC
117034,82.9,123.94,2.17,2.48,2.27,94.44,87,LC
117034,83,123.95,2.21,2.46,2.29,96.32,87,LC
117034,83.1,124.05,2.19,2.43,2.28,77.87,88.5,LC
117034,83.2,124.05,2.17,2.48,2.27,75.71,87,LC
117034,83.3,123.95,2.19,2.55,2.3,65.07,84,LC
117034,83.4,123.98,2.2,2.53,2.3,69.65,79.5,LC
117034,83.5,124.03,2.23,2.48,2.32,55.23,82.5,LC
117034,83.6,124.02,2.2,2.46,2.29,87.03,87,LC
117034,83.7,123.97,2.18,2.48,2.27,77.46,87,LC
117034,83.8,123.98,2.18,2.48,2.27,56.85,87,LC
117034,83.9,124.03,2.17,2.46,2.26,79.48,87,LC
117034,84,123.93,2.13,2.45,2.24,92.82,87,LC
117034,84.1,123.96,2.16,2.46,2.26,70.46,88.5,LC
117034,84.2,124.04,2.15,2.47,2.25,57.66,88.5,LC
117034,84.3,124.04,2.15,2.4,2.25,67.49,87,LC
117034,84.4,124.02,2.15,2.42,2.25,59.14,87,LC
117034,84.5,124,2.17,2.46,2.26,90.53,88.5,LC
117034,84.6,123.95,2.14,2.42,2.24,81.91,88.5,LC
117034,84.7,124.03,2.14,2.42,2.24,64.66,90,S3
117034,84.8,123.98,2.15,2.45,2.25,78,90,S4
117034,84.9,123.98,2.16,2.44,2.26,90.13,88.5,S4
117034,85,124.04,2.17,2.49,2.27,70.19,85.5,S3
117034,85.1,124.03,2.18,2.49,2.28,84.33,82.5,S3
117034,85.2,124.06,2.17,2.46,2.27,86.76,84,S3
117034,85.3,124.02,2.17,2.46,2.27,71.13,85.5,S3
117034,85.4,124.06,2.18,2.47,2.28,64.39,88.5,S3
117034,85.5,123.98,2.19,2.48,2.28,56.45,88.5,S3
117034,85.6,124.02,2.15,2.45,2.26,82.45,85.5,S3
117034,85.7,124.09,2.2,2.47,2.3,85.81,84,S3
117034,85.8,124.08,2.18,2.52,2.29,74.63,84,S3
117034,85.9,124.03,2.2,2.54,2.31,72.34,81,S3
117034,86,123.92,2.23,2.51,2.33,65.2,79.5,S3
117034,86.1,123.94,2.23,2.54,2.33,90.8,82.5,S3
117034,86.2,124.07,2.22,2.53,2.32,67.36,81,S3
117034,86.3,123.88,2.17,2.54,2.29,75.17,78,S3
117034,86.4,124,2.21,2.49,2.31,68.57,78,S3
117034,86.5,123.98,2.2,2.47,2.3,82.72,82.5,S3
117034,86.6,124.01,2.16,2.46,2.26,71.13,87,S3
117034,86.7,124.06,2.19,2.49,2.29,59.14,87,S3
117034,86.8,123.97,2.16,2.47,2.27,66.55,85.5,S3
117034,86.9,124.07,2.17,2.48,2.27,80.02,87,S3
117034,87,124.07,2.18,2.48,2.28,66.15,87,S3
117034,87.1,124.07,2.17,2.43,2.26,72.07,90,S3
117034,87.2,124.04,2.2,2.49,2.28,73.56,88.5,S3
117034,87.3,124.19,2.13,2.45,2.24,61.7,88.5,S3
117034,87.4,124.06,2.15,2.47,2.25,52.54,88.5,S3
